token,tag
පිපිරීමක්,B-EVENT
සිදුව,O
තිබේ,O
විදෙස්,B-ORG
මාධ්‍ය,I-ORG
වාර්තා,O
කළේ,O
සිංගප්පූරු,B-LOC
ධජය,O
සහිත,O
බහාලුම්,O
නෞකාවක්,O
එලෙස,O
පිපිරීමට,B-EVENT
ලක්ව,O
ඇති,O
බවයි,O
අනතුරෙන්,B-EVENT
කාර්ය,O
මණ්ඩල,O
සාමාජිකයින්,O
පස්,O
දෙනෙකු,O
තුවාල,O
ලබා,O
ඇතැයි,O
වාර්තා,O
වේ,O
විදෙස්,B-ORG
මාධ්‍ය,I-ORG
වාර්තා,O
කළේ,O
තවත්,O
හතර,O
දෙනෙකු,O
අතුරුදන්ව,O
ඇති,O
බවයි,O
අතුරුදන්වූවන්,O
අතරට,O
තායිවාන,B-LOC
ජාතිකයින්,O
දෙදෙනෙකු,O
ඉන්දුනීසියානු,B-LOC
ජාතිකයෙක්,O
හා,O
මියන්මාර,B-LOC
ජාතිකයෙක්,O
ඇතුළත්,O
අතුරුදන්වූවන්,O
සොයා,O
මෙහෙයුම්,B-EVENT
ක්‍රියාත්මකයි,O
නෞකා,O
කාර්ය,O
මණ්ඩලයේ,O
18,O
දෙනෙකු,O
මේ,O
වන,O
විට,O
බේරාගෙන,O
ඇති,O
අතර,O
එක්,O
අයෙකු,O
බරපතල,O
තුවාල,O
ලබා,O
ඇත,O
නෞකාවේ,O
මුළු,O
කාර්ය,O
මණ්ඩල,O
සාමාජිකයින්,O
සංඛ්‍යාව,O
22,O
ක්,O
නෞකාව,O
පසුගිය,O
06,O
වැනිදා,O
කොළඹ,B-LOC
වරායෙන්,I-LOC
පිටත්ව,O
ඇතැයි,O
විදෙස්,B-ORG
මාධ්‍ය,I-ORG
වාර්තාවල,O
සඳහන්,O
ගින්න,B-EVENT
මැඩපැවැත්වීමට,I-EVENT
ඉන්දීය,B-ORG
වෙරළාරක්ෂක,I-ORG
බලකාය,I-ORG
විසින්,O
මෙහෙයුම්,B-EVENT
ක්‍රියාත්මකයි,O
චීනයේ,B-LOC
ජියැන්ග්සි,B-LOC
පළාතේ,O
පැරණි,O
පාලමක්,O
පුපුරවමින්,B-EVENT
විනාශ,I-EVENT
කළ,O
අයුරු,O
දැක්වෙන,O
සුවිශේෂී,O
වීඩියෝවක්,O
මේ,O
වනවිට,O
සමාජ,B-ORG
මාධ්‍යයේ,I-ORG
සංසරණය,O
වෙයි,O
පුපුරුවා,B-EVENT
විනාශ,I-EVENT
කළ,O
පැරණි,O
පාලම,O
වෙනුවට,O
මේ,O
වනවිට,O
නව,O
පාලමක්,O
ද,O
ඉදිකර,O
තිබේ,O
අලුතින්,O
ඉදි,O
කරන,O
ලද,O
පාලමේ,O
සිට,O
මීටර්,O
3ක්,O
පමණ,O
දුරින්,O
මෙම,O
ගන්ජියැං,B-LOC
නම්,O
පැරණි,O
පාලම,O
පිහිටා,O
තිබිම,O
විශේෂත්වයකි,O
කිලෝමීටර්,O
1.15ක්,O
පමණ,O
දිගකින්,O
යුතු,O
මේ,O
පැරණි,O
පාලම,O
පුපුරණ,O
ද්‍රව්‍ය,O
භාවිතා,O
කරමින්,O
පුපුරුවා,B-EVENT
හැර,I-EVENT
තිබේ,O
සිදු,O
වන,O
බලපෑම,O
අවම,O
කිරීමට,O
පාලම,O
පුපුරවා,B-EVENT
ති‌බෙන්නේ,O
කොටස්,O
වශයෙන්,O
ය,O
නමුත්,O
ඒ,O
අසල,O
ඉදිකර,O
තිබූ,O
නව,O
පාලම,O
චලනය,O
නොවී,O
ස්ථාවරව,O
පැවතීම,O
විශේෂත්වයකි,O
රුසියාව,B-LOC
හා,O
යුක්රේනය,B-LOC
සටන්,B-EVENT
විරාම,I-EVENT
සාකච්ඡා,I-EVENT
ආරම්භ,O
කිරීමට,O
එකග,O
වූ,O
බව,O
අමෙරිකානු,B-LOC
ජනාධිපති,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
පවසයි,O
ඒ,O
ට්‍රම්ප්,B-PER
රුසියානු,B-LOC
ජනපති,O
ව්ලැඩිමීර්,B-PER
පුටින්,I-PER
සමග,O
පැය,O
දෙකක්,O
පුරා,O
පැවති,O
දුරකථන,B-EVENT
ඇමතුමකින්,I-EVENT
අනතුරුවයි,O
ඉන්,O
අනතුරුව,O
අමෙරිකානු,B-LOC
ජනපතිවරයා,O
යුක්රේන,B-LOC
ජනාධිපති,O
වොලොඩිමියර්,B-PER
සෙලෙන්ස්කිට,I-PER
ඒ,O
බව,O
දැනුම්,O
දී,O
තිබේ,O
එම,O
ඇමතුමට,O
යුරෝපීය,B-ORG
කොමිසමේ,I-ORG
සභාපති,O
උර්සුලා,B-PER
වොන්ඩර්ලේන්,I-PER
සහ,O
ප්‍රංශ,B-LOC
ඉතාලි,B-LOC
ජර්මනි,B-LOC
සහ,O
ෆින්ලන්ත,B-LOC
නායකයින්,O
ද,O
සම්බන්ධ,O
වී,O
ඇති,O
බවත්,O
විදෙස්,B-ORG
වාර්තා,I-ORG
වල,O
සදහන්,O
වේ,O
එහිදී,O
යුක්රේන,B-LOC
ජනපතිවරයා,O
අමෙරිකාවෙන්,B-LOC
ඉල්ලා,O
ඇත්තේ,O
සටන්,B-EVENT
විරාම,I-EVENT
සාකච්ඡාවලින්,I-EVENT
ඉවත්,O
නොවන,O
ලෙසයි,O
සාකච්ඡා,B-EVENT
සඳහා,O
ඇමෙරිකානු,B-LOC
සහ,O
යුරෝපීය,B-LOC
නියෝජිතයින්,O
සම්බන්ධ,O
කර,O
ගත,O
යුතු,O
බවත්,O
ඔහු,O
වැඩිදුරටත්,O
සඳහන්,O
කළේ,O
ය,O
සටන්,B-EVENT
විරාම,I-EVENT
කොන්දේසි,I-EVENT
සම්බන්ධයෙන්,O
දෙපාර්ශවය,O
අතර,O
සාකච්ඡා,O
කළ,O
යුතු,O
බවත්,O
අමෙරිකානු,B-LOC
ජනපතිවරයා,O
වැඩිදුරටත්,O
සදහන්,O
කළේ,O
ය,O
ගාසා,B-LOC
තීරයේ,I-LOC
රෝහලකට,B-ORG
එල්ල,O
වූ,O
ඊශ්‍රායල,B-EVENT
ගුවන්,I-EVENT
ප්‍රහාරයකින්,I-EVENT
පුද්ගලයින්,O
28,O
දෙනෙකු,O
මියගොස්,O
තිබේ,O
ප්‍රහාරය,B-EVENT
එල්ල,O
වුණේ,O
ගාසා,B-LOC
තීරයේ,I-LOC
ඛාන්,I-LOC
යුනිස්,I-LOC
නගරයේ,O
පිහිටි,O
රෝහලකටයි,B-ORG
ප්‍රහාරයෙන්,B-EVENT
තවත්,O
විශාල,O
පිරිසක්,O
තුවාල,O
ලබා,O
තිබේ,O
විදෙස්,B-ORG
මාධ්‍ය,I-ORG
වාර්තා,O
කළේ,O
ඊශ්‍රායල,B-ORG
යුධ,I-ORG
ගුවන්,I-ORG
යානා,I-ORG
එම,O
රෝහලට,O
එකවර,O
බෝම්බ,O
06ක්,O
දැමූ,O
බවයි,O
මේ,O
වනවිට,O
ඊශ්‍රායලය,B-LOC
සහ,O
හමාස්,B-ORG
සංවිධානය,I-ORG
අතර,O
පවතින,O
යුද්ධයෙන්,B-EVENT
ගාසා,B-LOC
තීරයේ,I-LOC
පලස්තීන,B-LOC
ජාතිකයන්,O
61,709,O
දෙනෙකු,O
මිය,O
ගොස්,O
තිබේ,O
ඉන්,O
17,492,O
දෙනෙකු,O
ළමුන්,O
වන,O
අතර,O
තුවාල,O
ලැබූ,O
පලස්තීන,B-LOC
ජාතිකයන්,O
සංඛ්‍යාව,O
111,588,O
කි,O
සින්දූර්,B-EVENT
මෙහෙයුමෙන්,I-EVENT
පසු,O
ඉන්දීය,B-LOC
අගමැති,O
නරේන්ද්‍ර,B-PER
මෝදි,I-PER
ඊයේ(12),O
ජාතිය,B-EVENT
අමතනු,I-EVENT
ලැබුවේය,O
ඔහු,O
එහිදී,O
අවධාරණය,O
කළේ,O
ජීවිත,O
26,O
ක්,O
බිලිගත්,O
පහල්ගම්,B-EVENT
ත්‍රස්ත,I-EVENT
ප්‍රහාරයට,I-EVENT
ප්‍රතිචාර,O
වශයෙන්,O
සිදුකළ,O
සින්දූර්,B-EVENT
මෙහෙයුම,I-EVENT
හුදෙක්,O
මෙහෙයුමක්,O
පමණක්,O
නොව,O
ත්‍රස්තවාදයට,O
එරෙහි,O
ප්‍රතිපත්තියක්,O
වන,O
බවයි,O
පාකිස්ඞතානයට,B-LOC
එල්ල,B-EVENT
කරන,I-EVENT
ප්‍රහාර,I-EVENT
අවසන්,O
වී,O
නැති,O
බව,O
සහ,O
එම,O
ප්‍රහාර,B-EVENT
අත්හිටුවා,O
ඇත්තේ,O
පකිස්ථානය,B-LOC
ත්‍රස්තවාදීන්ට,O
එරෙහිව,O
පියවර,O
ගන්නා,O
බවට,O
පොරොන්දු,O
වීමෙන්,O
පසුව,O
පමණක්,O
බව,O
ද,O
අගමැතිවරයා,O
සඳහන්,O
කළේ,O
ය,O
ඔහු,O
වැඩිදුරටත්,O
සඳහන්,O
කළේ,O
ඉන්දියාව,B-LOC
පාකිස්ථානයේ,B-LOC
ක්‍රියාමාර්ග,O
සමීපව,O
නිරීක්ෂණය,O
කර,O
ඒ,O
අනුව,O
ක්‍රියා,O
කරන,O
බවයි,O
අමෙරිකාව,B-LOC
සහ,O
චීනය,B-LOC
දින,O
90,O
ක්,O
සඳහා,O
තීරුබදු,B-EVENT
අඩු,I-EVENT
කිරීමේ,I-EVENT
එකඟතාවකට,I-EVENT
පැමිණ,O
තිබේ,O
ඒ,O
සියයට,O
115කින්,O
අමෙරිකාවේ,B-LOC
භාණ්ඩාගාර,O
ලේකම්,O
ස්කොට්,B-PER
බෙසන්ට්,I-PER
පැවසුවේ,O
එම,O
තීරණය,O
අනිද්දා,O
(14),O
සිට,O
ක්‍රියාත්මක,O
කරන,O
බවයි,O
ඒ,O
අනුව,O
චීන,B-LOC
ආනයන,O
සඳහා,O
අමෙරිකාවේ,B-LOC
තීරුබදු,O
සියයට,O
30%,O
දක්වා,O
පහත,O
වැටෙන,O
අතර,O
අමෙරිකානු,B-LOC
භාණ්ඩ,O
ආනයන,O
සඳහා,O
චීන,B-LOC
තීරුබදු,O
සියයට,O
10%ක්,O
දක්වා,O
පහත,O
වැටෙනු,O
ඇති,O
යුද,B-EVENT
ගැටුම්,I-EVENT
සම්බන්ධයෙන්,O
යුක්‍රේනය,B-LOC
සමග,O
මැයි,O
15,O
ට,O
පෙර,O
සෘජු,B-EVENT
සාකච්ඡා,I-EVENT
ආරම්භ,O
කිරීමට,O
තමන්,O
සූදානම්,O
බව,O
රුසියානු,B-LOC
ජනාධිපති,O
ව්ලැද්මියර්,B-PER
පුටින්,I-PER
පවසයි,O
ඒ,O
රූපවාහිනි,B-EVENT
සාකච්ඡාවකට,I-EVENT
එක්වෙමිනි,O
එහිදි,O
ඔහු,O
සඳහන්,O
කළේ,O
පූර්ව,O
කොන්දේසියකින්,O
තොරව,O
සෘජු,B-EVENT
සාකච්ඡා,I-EVENT
නැවත,O
ආරම්භ,O
කිරීමට,O
තමන්,O
සූදානම්,O
බවයි,O
ගැටුම්,O
සඳහා,O
හේතු,O
වූ,O
සාධක,O
ඉවත්,O
කර,O
කල්,O
පවතින,O
ශක්තිමත්,O
සාමයක්,B-EVENT
කරා,O
ගමන්,O
කිරීමට,O
අවශ්‍ය,O
පියවර,O
ගැනීමට,O
ද,O
සූදානම්,O
බව,O
ද,O
එම,O
සාකච්ඡාවේදී,B-EVENT
ඔහු,O
ප්‍රකාශ,O
කර,O
තිබේ,O
බ්‍රිතාන්‍ය,B-LOC
අගමැති,O
කීර්,B-PER
ස්ටාර්මර්,I-PER
සහ,O
ප්‍රංශ,B-LOC
ජනාධිපති,O
එමානුවෙල්,B-PER
මැක්‍රොන්,I-PER
ඇතුළු,O
යුරෝපීය,B-LOC
නායකයින්,O
යුක්රේනයේ,B-LOC
කොන්දේසි,O
විරහිත,O
දින,O
30,O
ක,O
සටන්,B-EVENT
විරාමයකට,I-EVENT
එකඟ,O
වන,O
ලෙස,O
රුසියාවෙන්,B-LOC
ඉල්ලා,O
පැය,O
කිහිපයකට,O
පසු,O
එම,O
යෝජනාව,O
රුසියානු,B-LOC
ජනාධිපතිවරයා,O
ඉදිරිපත්,O
කර,O
ඇතැයි,O
සඳහන්,O
ශ්‍රේෂ්ඨාධිකරණ,B-ORG
නියෝග,O
ප්‍රකාරව,O
පසුගිය,O
ශිෂ්‍යත්ව,B-EVENT
විභාගයේ,I-EVENT
පළමු,O
ප්‍රශ්න,O
පත්‍රය,O
සම්බන්ධයෙන්,O
ගන්නා,O
ක්‍රියාමාර්ග,O
පිළිබඳ,O
අවසන්,O
තීරණයකට,O
අද(01),O
එළඹෙන,O
බව,O
විභාග,B-ORG
දෙපාර්තමේන්තුව,I-ORG
පවසයි,O
විභාග,O
කොමසාරිස්,O
ජනරාල්,O
අමිත්,B-PER
ජයසුන්දර,I-PER
මහතා,O
සඳහන්,O
කළේ,O
එම,O
තීරණය,O
කඩිනමින්,O
ප්‍රකාශයට,O
පත්,O
කරන,O
බවය,O
මහත්,O
ආන්දෝලනයකට,O
තුඩු,O
දුන්,O
05ශ්‍රේණිය,B-EVENT
ශිෂ්‍යත්ව,I-EVENT
විභාගයේ,I-EVENT
පළමු,O
ප්‍රශ්න,O
පත්‍රයේ,O
ප්‍රශ්න,O
තුනකට,O
නිදහස්,O
ලකුණු,O
ලබා,O
දීමට,O
ගෙන,O
ඇති,O
තීරණයෙන්,O
මූලික,O
අයිතිවාසිකම්,O
කඩ,O
වී,O
ඇතැයි,O
ශ්‍රේෂ්ඨාධිකරණය,B-ORG
ඊයේ,O
(31),O
තීන්දු,O
කළේ,O
ය,O
විභාග,O
කොමසාරිස්,O
ජනරාල්වරයාට,O
ශ්‍රේෂ්ඨාධිකරණය,B-ORG
නියෝග,O
කළේ,O
නිදහස්,O
ලකුණු,O
දීම,O
ප්‍රශ්න,O
තුන,O
කප්පාදු,O
කිරීම,O
සහ,O
සම්පූර්ණ,O
විභාගය,B-EVENT
යළි,O
පැවැත්වීම,O
යන,O
නිර්දේශ,O
03,O
අතරින්,O
සුදුසුම,O
නිර්දේශය,O
තෝරාගෙන,O
එය,O
වහාම,O
ක්‍රියාත්මක,O
කරන,O
ලෙසයි,O
ශ්‍රේෂ්ඨාධිකරණය,B-ORG
මෙම,O
තීන්දුව,O
ලබා,O
දුන්නේ,O
05,B-EVENT
ශ්‍රේණියේ,I-EVENT
ශිෂ්‍යත්ව,I-EVENT
විභාගයේ,I-EVENT
පළමු,O
ප්‍රශ්න,O
පත්‍රය,O
අවලංගු,O
කර,O
ඒ,O
සඳහා,O
නැවත,O
විභාගය,B-EVENT
පවත්වන්නැයි,O
විභාග,O
කොමසාරිස්,O
ජනරාල්වරයාට,O
නියෝග,O
කෙරෙන,O
අතුරු,O
තහනම්,O
නියෝගයක්,O
ඉල්ලමින්,O
විභාගයට,B-EVENT
පෙනී,O
සිටි,O
සිසු,O
සිසුවියන්,O
හා,O
ඔවුන්ගේ,O
මව්පියන්,O
පිරිසක්,O
ශ්‍රේෂ්ඨාධිකරණය,B-ORG
හමුවේ,O
සලකා,O
බැලීමෙන්,O
අනතුරුවයි,O
එහිදී,O
පළමු,O
ප්‍රශ්න,O
පත්‍රයේ,O
ප්‍රශ්න,O
තුනකට,O
නිදහස්,O
ලකුණු,O
ලබාදීමට,O
විභාග,O
කොමසාරිස්ජනරාල්වරයා,O
ගෙන,O
තිබෙන,O
තීරණය,O
හා,O
එය,O
අනුමත,O
කරමින්,O
අමාත්‍ය,B-ORG
මණ්ඩලය,I-ORG
ලබා,O
දුන්,O
තීරණය,O
ශ්‍රේෂ්ඨාධිකරණය,B-ORG
බල,O
ශුන්‍ය,O
කළේ,O
ය,O
ලෝකයේ,O
ධනවත්ම,O
පුද්ගලයා,O
ලෙස,O
සැලකෙන,O
එලෝන්,B-PER
මස්ක්,I-PER
සිය,O
X,B-ORG
ගිණුමේ,I-ORG
නම,O
වෙනස්,O
කිරීම,O
ක්ෂේත්‍රයේ,O
බොහෝ,O
දෙනෙකුගේ,O
අවධානයට,O
ලක්ව,O
ති‌බේ,O
ඔහු,O
යොදාගෙන,O
ඇති,O
නම,O
කෙකියස්,B-PER
මැක්සිමස්,I-PER
වේ,O
කෙසේ,O
වෙතත්,O
මස්ක්,B-PER
තවමත්,O
මේ,O
සම්බන්ධයෙන්,O
පැහැදිලි,O
කිරීමක්,O
සිදු,O
කර,O
නැත,O
කෙකියස්,B-PER
යනු,O
පුරාණ,O
ඊජිප්තුවේ,B-LOC
අන්ධකාරයේ,O
දෙවියාගේ,O
නම,O
බවත්,O
එය,O
ඇතැම්,O
විට,O
ගෙම්බෙකුගේ,O
හිසෙන්,O
නිරූපණය,O
කෙරෙන,O
බවත්,O
සඳහන්,O
වේ,O
මැක්සිමස්,B-PER
යනු,O
ග්ලැඩියේටර්,B-EVENT
චිත්‍රපටයේ,I-EVENT
රසල්,B-PER
ක්‍රෝගේ,I-PER
වීර,O
චරිතය,O
වන,O
මැක්සිමස්,B-PER
ඩෙසිමස්,I-PER
මෙරිඩියස්ගේ,I-PER
නමට,O
සම්බන්ධ,O
වචනයක්,O
වේ,O
රුසියාවේ,B-LOC
සිට,O
තම,O
භූමි,O
ප්‍රදේශය,O
හරහා,O
යුරෝපයට,B-LOC
ගෑස්,O
සැපයීම,O
නවතා,O
දමන,O
බව,O
යුක්‍රේනය,B-LOC
පවසයි,O
මෙම,O
තීරණයත්,O
සමග,O
වසර,O
5ක්,O
රුසියානු,B-LOC
සහ,O
යුක්රේන,B-LOC
සමාගම්,O
අතර,O
තිබූ,O
ගිවිසුමක්,B-EVENT
අවසන්,O
වනු,O
ඇත,O
රුසියාව,B-LOC
යුක්රේනය,B-LOC
හරහා,O
යුරෝපා,B-ORG
සංගමයේ,I-ORG
රටවලට,O
ගෑස්,O
ප්‍රවාහනය,O
කිරීම,O
ආරම්භ,O
කළේ,O
1991,O
වසරේදීයි,O
රුසියාව,B-LOC
යුක්රේනය,B-LOC
ආක්‍රමණය,B-EVENT
කිරීමෙන්,O
පසුව,O
සිය,O
භූමිය,O
භාවිත,O
කිරීම,O
සම්බන්ධයෙන්,O
යුක්‍රේන,B-LOC
ජනාධිපතිවරයා,O
ඔහුගේ,O
තදබල,O
විරෝධය,O
පල,O
කළේ,O
ය,O
ජනාධිපති,O
ව්ලොඩමියර්,B-PER
සෙලෙන්ස්කි,I-PER
ගෑස්,B-EVENT
සැපයුම්,I-EVENT
ගිවිසුම,I-EVENT
අහෝසි,O
කිරීමෙන්,O
යුරෝපා,B-LOC
රටවලට,O
ඇතිවිය,O
හැකි,O
බලපෑම,O
අවම,O
කරගැනීමට,O
සූදානම්,O
වීම,O
සඳහා,O
යුරෝපා,B-ORG
කොමිසමට,I-ORG
වසරක,O
කාලයක්,O
ලබා,O
දුන්නේ,O
ය,O
ඒ,O
අනුව,O
යුරෝපා,B-ORG
කොමිසම,I-ORG
සඳහන්,O
කළේ,O
යුක්‍රේනය,B-LOC
හරහා,O
ගෑස්,O
සැපයුම්,O
අවසන්,O
වුවද,O
යුරෝපා,B-ORG
සංගමයේ,I-ORG
රටවලට,O
ප්‍රමාණවත්,O
ධාරිතාවක්,O
ඔවුන්,O
සතුව,O
ඇති,O
බවයි,O
යම්,O
හෙයකින්,O
යුක්‍රේනය,B-LOC
ගිවිසුම්,B-EVENT
අහෝසි,O
කළත්,O
කළු,B-LOC
මුහුද,I-LOC
හරහා,O
නල,O
මාර්ග,O
ඔස්සේ,O
හංගේරියාව,B-LOC
තුර්කිය,B-LOC
සහ,O
සර්බියාව,B-LOC
යන,O
රටවලට,O
ගෑස්,O
සැපයිය,O
හැකියි,O
මේ,O
අතර,O
රුසියාවේ,B-LOC
සහ,O
ඉරානයේ,B-LOC
හමුදාවට,B-ORG
සම්බන්ධ,O
සංවිධාන,O
ඇතුළු,O
පාර්ශව,O
කිහිපයකට,O
අමෙරිකාව,B-LOC
නව,B-EVENT
සම්බාධක,I-EVENT
පනවා,O
තිබේ,O
ඒ,O
පසුගියදා,O
පැවති,O
අමෙරිකානු,B-EVENT
ජනාධිපතිවරණයට,I-EVENT
මැදිහත්,O
වීමට,O
ඔවුන්,O
උත්සහ,O
ගෙන,O
ඇති,O
බවට,O
චෝදනා,O
කරමින්,O
ඉලක්කගත,O
සාවද්‍ය,O
තොරතුරු,O
බෙදාහැරීමේ,B-EVENT
ව්‍යාපාරයක්,I-EVENT
හරහා,O
අමෙරිකානු,B-LOC
ජනතාව,O
අතර,O
බෙදීමක්,O
ඇතිකිරීමට,O
ඔවුන්,O
උත්සහ,O
දරා,O
ඇතැයි,O
අමෙරිකානු,B-ORG
රජය,I-ORG
ප්‍රකාශ,O
කළේ,O
ය,O
රුසියාව,B-LOC
කිසිඳු,O
විටෙක,O
අමෙරිකාව,B-LOC
හෝ,O
වෙනත්,O
රටක,O
අභ්‍යන්තර,O
කටයුතුවලට,O
මැදිහත්,O
නොවන,O
බව,O
චෝදනාවලට,O
ප්‍රතිචාර,O
දක්වමින්,O
අමෙරිකාවේ,B-LOC
රුසියානු,B-ORG
තානාපති,I-ORG
කාර්යාලය,I-ORG
පවසයි,O
රුසියාව,B-LOC
සමග,O
ගැටුම්,B-EVENT
අවසන්,O
කිරීමට,O
නම්,O
තම,O
රටේ,O
ආරක්ෂාව,O
අමෙරිකාව,B-LOC
සහතික,O
කළ,O
යුතු,O
බව,O
යුක්‍රේන,B-LOC
ජනාධිපති,O
වොලොඩිමියර්,B-PER
සෙලෙන්ස්කි,I-PER
පවසයි,O
ඔහු,O
පෙන්වා,O
දෙන්නේ,O
ඒ,O
සම්බන්ධයෙන්,O
අමෙරිකානු,B-EVENT
ජනාධිපතිවරණයෙන්,I-EVENT
තේරි,O
පත්වූ,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
ජනාධිපති,O
ධුරයේ,O
දිවුරුම්,O
දුන්,O
පසු,O
සාකච්ඡා,O
කිරීමට,O
සූදානම්,O
බවයි,O
රුසියානු,B-LOC
ජනාධිපති,O
ව්ලැඩිමීර්,B-PER
පුටින්,I-PER
යුද්ධය,B-EVENT
අවසන්,O
කිරීම,O
සඳහා,O
උනන්දුවක්,O
නොදක්වන,O
බව,O
යුක්‍රේන,B-LOC
ජනාධිපතිවරයා,O
පෙන්වා,O
දෙයි,O
ඔහු,O
අවධාරණය,O
කරන්නේ,O
මෙම,O
ගැටුම්,B-EVENT
විසඳාගත,O
හැක්කේ,O
අමෙරිකාවේ,B-LOC
මැදිහත්,O
වීමෙන්,O
පමණක්,O
බවයි,O
කොරියාවේ,B-LOC
මුආන්,B-LOC
ගුවන්,I-LOC
තොටුපොළ,I-LOC
තවත්,O
සතියක්,O
වසා,O
දැමීමට,O
තීරණය,O
කර,O
තිබේ,O
ඒ,O
පසුගිය,O
දෙසැම්බර්,O
29,O
වැනිදා,O
සිදු,O
වූ,O
අනතුර,B-EVENT
සම්බන්ධ,O
විමර්ෂණ,O
තවත්,O
අවසන්,O
නොවීම,O
හේතුවෙන්,O
සිදු,O
වූ,O
අනතුරෙන්,B-EVENT
පුද්ගලයින්,O
179,O
කු,O
මිය,O
ගියේ,O
ය,O
වසාදැමුණු,O
ගුවන්,B-LOC
තොටුපොළ,I-LOC
නැවත,O
හෙට,O
(07),O
දිනයේදී,O
විවෘත,O
කිරීමට,O
නියමිත,O
තිබිණි,O
පොදු,O
ඉදිකිරීම්,O
ව්‍යාපෘතිවල,O
සිදුව,O
ඇති,O
දූෂණ,O
පිළිබඳව,O
පුළුල්,O
ලෙස,O
වාර්තා,O
කළ,O
ඉන්දියානු,B-LOC
නිදහස්,O
මාධ්‍යවේදියෙකුගේ,O
මළ,O
සිරුරක්,O
චත්තිස්ගාර්,B-LOC
ප්‍රාන්තයේ,I-LOC
මළාපවහන,O
ටැංකියකින්,O
හමුව,O
තිබේ,O
32,O
හැවිරිදි,O
ඔහු,O
මුකේෂ්,B-PER
චන්ද්‍රකාර්,I-PER
මුකේෂ්,B-PER
අතුරුදන්,O
වූ,O
බවට,O
ඔහුගේ,O
ඥාතීන්,O
ඉන්දීය,B-ORG
පොලීසියට,I-ORG
පැමිණිලි,O
කර,O
තිබුණේ,O
ජනවාරි,O
01,O
වැනිදායි,O
බිජාපූර්,B-LOC
නගරයේ,I-LOC
මාර්ග,O
ඉදිකිරීම්,O
කොන්ත්‍රාත්කරුවෙකුගේ,O
නිවසක,O
මළාපවහන,O
ටැංකියක,O
තිබී,O
ඔහුගේ,O
සිරුරගේ,O
සොයා,O
ගැනුණේ,O
දුරකථන,O
දත්ත,O
පරීක්ෂාවකින්,O
පසුවයි,O
මේ,O
සම්බන්ධයෙන්,O
චන්ද්‍රකාර්ගේ,B-PER
ඥාතීන්,O
දෙදෙනෙකු,O
ඇතුලු,O
තිදෙනෙකු,O
සැකපිට,O
අත්අඩංගුවට,O
ගෙන,O
ඇත,O
පොලිසිය,B-ORG
පැවසුවේ,O
මොට,O
ආයුදයකින්,O
කළ,O
පහරදීමකින්,B-EVENT
ඇතිවූ,O
තුවාල,O
සලකුණු,O
මළ,O
සිරුරේ,O
දක්නට,O
ඇති,O
බවයි,O
කැනඩා,B-LOC
අග්‍රාමාත්‍ය,O
ජස්ටින්,B-PER
ටෘඩෝ,I-PER
සිය,O
ආණ්ඩු,O
පක්ෂ,O
නායක,O
ධුරයෙන්,O
ඉල්ලා,O
අස්වී,O
තිබේ,O
අග්‍රාමාත්‍යවරයා,O
ප්‍රකාශ,O
කළේ,O
පක්ෂයේ,O
මීළඟ,O
පක්ෂ,O
නායකයා,O
තෝරා,O
ගැනීමෙන්,O
පසු,O
අගමැති,O
ධූරයෙන්,O
ද,O
ඉල්ලා,O
අස්වන,O
බවයි,O
එම,O
තීරණයෙන්,O
අනතුරුව,O
මීළඟ,B-EVENT
මැතිවරණයේදී,I-EVENT
රටට,O
සැබෑ,O
නායකත්වයක්,O
ලැබිය,O
යුතු,O
බවත්,O
ඔහු,O
ප්‍රකාශ,O
කළේ,O
ය,O
අග්‍රාමාත්‍යවරයා,O
ප්‍රකාශ,O
කළේ,O
තම,O
පවුලේ,O
අය,O
සමග,O
සිදුකළ,O
සංවාදයකින්,B-EVENT
අනතුරුව,O
ඉල්ලා,O
අස්වීමට,O
තීරණය,O
කළ,O
බවයි,O
යුක්රේනයට,B-LOC
එරෙහි,O
යුද්ධය,B-EVENT
අවසන්,I-EVENT
කිරීමේ,I-EVENT
ගිවිසුම්,I-EVENT
සම්බන්ධ,O
සාකච්ඡා,O
ප්‍රතික්ෂේප,O
කළහොත්,O
රුසියාවට,B-LOC
එරෙහි,O
සම්බාධක,B-EVENT
දැඩි,O
කරන,O
බව,O
අමෙරිකානු,B-LOC
ජනපති,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
පවසයි,O
ඔහු,O
පැවසුවේ,O
රුසියානු,B-LOC
ජනාධිපති,O
ව්ලැඩිමියර්,B-PER
පුටින්,I-PER
යුද්ධය,B-EVENT
අවසන්,O
කිරීම,O
වෙනුවෙන්,O
ගිවිසුමකට,B-EVENT
එළැඹිය,O
යුතු,O
බවයි,O
යුද්ධය,B-EVENT
අවසන්,O
කිරීමට,O
සාම,B-EVENT
ගිවිසුමක්,I-EVENT
අවශ්‍ය,O
බව,O
යුක්රේන,B-LOC
ජනාධිපති,O
වොලඩිමියර්,B-PER
සෙලෙන්ස්කි,I-PER
තමාට,O
දැන්වූ,O
බව,O
ජනපති,O
ට්‍රම්ප්,B-PER
පැවසීය,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
මීට,O
පෙර,O
සඳහන්,O
